No.	Mode	Map	Victory/Defeat	Time	E	A	D	Damage	Health	Mitigation		
1	Payload	Shambali	Defeat	5:58								
						10	5	1	5131	1943	6569	
						9	3	3	3197	5455	254	
						8	1	1	5103	61	79	
						9	1	4	2596	716	416	
						11	5	2	7316	1922	890	
						4	3	5	2483	3019	261	
						4	3	2	4095	3922	2393	
						8	2	2	4096	5317	0	
												
												
2	Push	Colosseo	Victory	10:53								
						29	5	9	9345	1465	1863	
						10	7	10	3198	2553	740	
						21	2	9	3912	662	2115	
						20	4	8	4348	1484	403	
						24	9	3	4709	1859	0	
						18	2	9	6472	2268	3652	
						17	4	11	4085	2265	1142	
						12	2	13	3016	429	768	
						14	2	6	4272	854	2976	
						17	7	10	5722	1036	1298	
3	Payload	Junkertown	Victory	5:24								
						10	2	1	2488	0	2749	
						12	4	3	3853	286	448	
						16	4	2	3105	391	598	
						14	3	1	2803	631	737	
						14	3	1	3600	4836	682	
						4	2	4	4336	902	5503	
						1	1	5	2409	925	1135	
						2	2	6	1913	1047	1158	
						4	1	7	2671	1530	735	
						4	2	3	2199	1829	724	
4	Hybrid	Paraiso	Victory	9:22								
						17	7	7	4117	1944	3401	
						19	2	4	8129	164	537	
						18	4	6	5382	221	648	
						17	10	4	4367	3483	48	
						14	13	8	4939	3897	2051	
						14	4	6	4347	1749	3393	
						4	1	10	2383	921	2219	
						13	11	6	5779	4854	898	
						20	5	7	4982	1921	1462	
						15	1	7	3707	724	4328	
5	Hybrid	King's Row	Victory	8:27								
						19	6	2	7343	0	2900	
						15	1	5	2634	565	231	
						17	13	2	2238	5479	350	
						22	11	3	4430	2823	855	
						23	9	2	5460	2919	0	
						2	0	10	2195	376	687	
						4	1	11	2304	404	1516	
						11	0	4	5622	0	14	
						8	2	5	4683	2529	789	
						3	3	8	2755	905	3012	
6	Control	Lijiang	Victory	9:19								
						29	12	5	9043	4817	2519	
						34	27	7	8751	3229	4323	
						22	16	8	6256	5884	2620	
												
												
						21	13	9	6412	5374	2262	
						13	0	8	4130	225	2458	
						25	5	13	8588	2725	6859	
						21	11	9	8955	6231	2381	
						21	12	13	9477	3339	2675	
7	Control	Nepal	Victory	12:34								
						23	7	4	5307	3453	562	
						31	4	9	7992	103	2184	
						26	7	5	6519	4143	4944	
						20	7	9	5066	2262	2406	
						20	9	7	5597	2726	4464	
						5	8	11	3759	2408	1787	
						21	3	6	7877	942	2575	
						15	3	12	4401	792	4213	
						24	8	12	9020	1285	3405	
						14	11	9	3919	3369	1668	
8	Push	New Queen	Defeat	7:05								
						6	3	6	2625	3331	164	
						8	5	4	5852	4389	1284	
						10	3	8	3803	509	1534	
						7	4	9	4130	790	1332	
						7	6	6	3737	3253	898	
						19	3	1	7121	0	2079	
						14	5	3	3791	2264	1130	
						20	3	3	7414	9	2074	
						3	18	5	1876	7655	200	
						18	5	3	4693	0	6188	
